split_id,train_start,train_end,valid_start,valid_end,test_start,test_end,n_train,n_valid,n_test
48,2017-12-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2021-12-31 00:00:00,3024,1008,84
49,2018-01-31 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00,3024,1008,84
50,2018-02-28 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-02-28 00:00:00,3024,1008,84
51,2018-03-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-03-31 00:00:00,3024,1008,84
52,2018-04-30 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-04-30 00:00:00,3024,1008,84
53,2018-05-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-05-31 00:00:00,3024,1008,84
54,2018-06-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-06-30 00:00:00,3024,1008,84
55,2018-07-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2022-07-31 00:00:00,3024,1008,84
56,2018-08-31 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2022-08-31 00:00:00,3024,1008,84
57,2018-09-30 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-09-30 00:00:00,3024,1008,84
58,2018-10-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-10-31 00:00:00,3024,1008,84
59,2018-11-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-11-30 00:00:00,3024,1008,84
60,2018-12-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00,3024,1008,84
61,2019-01-31 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-01-31 00:00:00,3024,1008,84
62,2019-02-28 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-02-28 00:00:00,3024,1008,84
63,2019-03-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-03-31 00:00:00,3024,1008,84
64,2019-04-30 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2023-04-30 00:00:00,3024,1008,84
65,2019-05-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2023-05-31 00:00:00,3024,1008,84
66,2019-06-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-06-30 00:00:00,3024,1008,84
67,2019-07-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,3024,1008,84
68,2019-08-31 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-08-31 00:00:00,3024,1008,84
69,2019-09-30 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00,2023-09-30 00:00:00,3024,1008,84
70,2019-10-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2023-09-30 00:00:00,2023-10-31 00:00:00,2023-10-31 00:00:00,3024,1008,84
71,2019-11-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2023-11-30 00:00:00,3024,1008,84
72,2019-12-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2023-11-30 00:00:00,2023-12-31 00:00:00,2023-12-31 00:00:00,3024,1008,84
73,2020-01-31 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-12-31 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,3024,1008,84
74,2020-02-29 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2024-01-31 00:00:00,2024-02-29 00:00:00,2024-02-29 00:00:00,3024,1008,84
75,2020-03-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2024-02-29 00:00:00,2024-03-31 00:00:00,2024-03-31 00:00:00,3024,1008,84
76,2020-04-30 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2024-03-31 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,3024,1008,84
77,2020-05-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-05-31 00:00:00,3024,1008,84
78,2020-06-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2024-05-31 00:00:00,2024-06-30 00:00:00,2024-06-30 00:00:00,3024,1008,84
79,2020-07-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2024-06-30 00:00:00,2024-07-31 00:00:00,2024-07-31 00:00:00,3024,1008,84
80,2020-08-31 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,2024-08-31 00:00:00,3024,1008,84
81,2020-09-30 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00,2024-08-31 00:00:00,2024-09-30 00:00:00,2024-09-30 00:00:00,3024,1008,78
82,2020-10-31 00:00:00,2023-09-30 00:00:00,2023-10-31 00:00:00,2024-09-30 00:00:00,2024-10-31 00:00:00,2024-10-31 00:00:00,3024,1002,78
83,2020-11-30 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-11-30 00:00:00,3024,996,60
